Asana,Sanskrit,English,Type,Effect on spine,"Suitable for
Balasana[36],बालासन,Child,Sitting,,,"20th C. TK[37]
19th C. ST Ananda Balasana (as Kandukasana)[38]",Child's, ,,
Bharadvajasana[40],भरद्वाजासन,Bharadvaja's twist,Sitting,Twist,,20th C. LoY[41],Seated Twist, ,,
Dandasana[51],दण्डासन,Staff,Sitting,,,08th C. PSV[52],, ,,
Garbha Pindasana[56],गर्भासन,Embryo in Womb,Sitting,,,17th C. BaH[57],, ,,
Gomukhasana[60],गोमुखासन,Cow-faced,Sitting,,Meditation[61],"04th C. DU[62]
10th C. V[63]
15th C. HYP 1.20",Shoelace, ,,
Gorakshasana,गोरक्षासन,"Cowherd
Gorakhnath's pose",Sitting,,Meditation,"14th C. ShS 3.108-112 
15th C. HYP 1.28-29
17th C. GhS 2.24-25",, ,,
Hanumanasana[67],हनुमनासन,Hanuman's Pose,Sitting,,,20th C. TK[68],, ,,
Janusirsasana[69],जानुशीर्षासन,Head-to-Knee,Sitting,Forward Bend,,20th C. TK[70][71],, ,,
Kraunchasana[80],क्रौञ्चासन,Heron,Sitting,,,17th C. HR[35],,,,
Kurmasana[82][83],कूर्मासन,Tortoise,Sitting,Forward bend,,07th C. AS[57],, ,,
Mandukasana,मन्दुकासन,Frog,Sitting,,,17th C. GhS[90],,,,
Marichyasana[91],मरीच्यासना,Marichi's Pose,Sitting,Twist,,20th C. TK[92],,,,
Matsyendrasana[94],मत्स्येन्द्रासन,"Lord of the Fishes
Matsyendra's pose",Sitting,Twist,,"15th C. HYP 1.28-29
17th C. GhS",, ,,
Muktasana[6],मुक्तासन,Liberated,Sitting,,Meditation,10th C. V[63][h],, ,,
"Navasana
Paripurna Navasana[97]
Naukasana[39]","नावासन,
परिपूर्णनावासन
नौकासन","Boat,
Full Boat",Sitting,Forward bend,,19th C. ST[39],, ,,
Padmasana[98],पद्मासन,Lotus,Sitting,,Meditation[99],"04th C. DU[100]
08th C. PSV[52]",, ,,
