Surya Namaskar,Cat cow
Pranamasana,Bidalasana
Hasta Uttanasana        ,Cow
Uttanasana,Bidalasana
Anjaneyasana,Cow
Adho Mukha Svanasana,Bidalasana
Ashtanga Namaskara,Cow
Urdhva Mukha,Bidalasana
Adho Mukha Svanasana,Cow
Anjaneyasana,
Uttanasana    ,
Hasta Uttanasana,
